VISIBLE_TAG,VISIBLE_PARENT_TAG,VISIBLE_TYPE,VISIBLE_VOLTAGE_KV,VISIBLE_RATING_OR_LOAD_KW,VISUAL_STATUS
KPL2-GRID-3300-UTIL01,,UG,33.0,10000,VISIBLE_IN_SLD
KPL2-MAIN-3300-SWGR01,KPL2-GRID-3300-UTIL01,HV,33.0,8000,VISIBLE_IN_SLD
KPL2-MAIN-3300-TR00,KPL2-MAIN-3300-SWGR01,TA,33.0,6300,VISIBLE_IN_SLD
KPL2-MAIN-6600-MVDB01,KPL2-MAIN-3300-TR00,HV,6.6,6000,VISIBLE_IN_SLD
KPL2-A10-410-TR01,KPL2-MAIN-6600-MVDB01,TA,6.6,1250,VISIBLE_IN_SLD
KPL2-B20-420-TR02,KPL2-MAIN-6600-MVDB01,TA,6.6,1600,VISIBLE_IN_SLD
KPL2-C30-430-TR03,KPL2-MAIN-6600-MVDB01,TA,6.6,1500,VISIBLE_IN_SLD
KPL2-Z90-999-TR99,KPL2-UNKNOWN-FEEDER,TA,6.6,250,VISIBLE_IN_SLD
KPL2-A10-410-LV01-SWBD01,KPL2-A10-410-TR01,LV,0.4,1200,VISIBLE_IN_SLD
KPL2-B20-420-LV02-SWBD02,KPL2-B20-420-TR02,LV,0.4,1500,VISIBLE_IN_SLD
KPL2-C30-430-LV03-SWBD03,KPL2-C30-430-TR03,LV,0.4,900,VISIBLE_IN_SLD
KPL2-C30-430-MV01-SWBD03,KPL2-MAIN-6600-MVDB01,HV,6.6,4000,VISIBLE_IN_SLD
KPL2-Z90-999-LV99-SWBD99,KPL2-Z90-999-TR99,LV,0.4,80,VISIBLE_IN_SLD
KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-SWBD01,MCC,0.4,520,VISIBLE_IN_SLD
KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-SWBD01,MCC,0.4,450,VISIBLE_IN_SLD
KPL2-A10-410-LV01-DB01,KPL2-A10-410-LV01-SWBD01,LV,0.4,350,VISIBLE_IN_SLD
KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-SWBD02,MCC,0.4,900,VISIBLE_IN_SLD
KPL2-B20-420-LV02-MCC04,KPL2-C30-430-LV03-SWBD03,MCC,0.4,450,VISIBLE_IN_SLD
KPL2-B20-420-LV02-DB02,KPL2-B20-420-LV02-SWBD02,LV,0.4,150,VISIBLE_IN_SLD
KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-SWBD03,MCC,0.4,500,VISIBLE_IN_SLD
KPL2-C30-430-MV01-SWG01,KPL2-C30-430-MV01-SWBD03,HV,6.6,3800,VISIBLE_IN_SLD
KPL2-Z90-999-LV99-MCC99,KPL2-Z90-999-LV99-SWBD99,MCC,0.4,60,VISIBLE_IN_SLD
KPL2-A10-410-PP001,KPL2-A10-410-LV01-MCC01,MAA,0.4,1.5,VISIBLE_IN_SLD
KPL2-A10-410-FN001,KPL2-A10-410-LV01-MCC01,MAA,0.4,2.2,VISIBLE_IN_SLD
KPL2-A10-410-FN002,KPL2-A10-410-LV01-MCC01,MAA,0.4,22,VISIBLE_IN_SLD
KPL2-A10-410-CP001,KPL2-A10-410-LV01-MCC01,MAA,0.4,4,VISIBLE_IN_SLD
KPL2-A10-410-MX001,KPL2-A10-410-LV01-MCC01,MAA,0.4,5.5,VISIBLE_IN_SLD
KPL2-A10-410-MX002,KPL2-A10-410-LV01-MCC01,MAA,0.4,55,VISIBLE_IN_SLD
KPL2-A10-410-PP002,KPL2-A10-410-LV01-MCC01,MAA,0.4,75,VISIBLE_IN_SLD
KPL2-A10-410-MX003,KPL2-A10-410-LV01-MCC01,MAA,0.4,22,VISIBLE_IN_SLD
KPL2-A10-410-MX004,KPL2-A10-410-LV01-MCC01,MAA,0.4,2.2,VISIBLE_IN_SLD
KPL2-A10-410-MX005,KPL2-A10-410-LV01-MCC01,MAA,0.4,3,VISIBLE_IN_SLD
KPL2-A10-410-PP003,KPL2-A10-410-LV01-MCC01,MAA,0.4,22,VISIBLE_IN_SLD
