ITEM TAG,PARENT ITEM TAG,ASSET ROLE,EQUIPMENT TYPE,DESCRIPTION,RATED VOLTAGE [kV],RATED POWER_OR_CAPACITY_kW,DOWNSTREAM_CONNECTED_LOAD_kW,CHILD_COUNT,TOPOLOGY_STATUS
KPL2-GRID-3300-UTIL01,,ELECTRICAL_ASSET,UG,UTILITY GRID CONNECTION,33.0,10000.0,6699.6,1,OK
KPL2-MAIN-3300-SWGR01,KPL2-GRID-3300-UTIL01,ELECTRICAL_ASSET,HV,MAIN INCOMING SWITCHGEAR,33.0,8000.0,6699.6,1,OK
KPL2-MAIN-3300-TR00,KPL2-MAIN-3300-SWGR01,ELECTRICAL_ASSET,TA,MAIN POWER TRANSFORMER 33/6.6 kV,33.0,6300.0,6699.6,1,OK
KPL2-MAIN-6600-MVDB01,KPL2-MAIN-3300-TR00,ELECTRICAL_ASSET,HV,MAIN MV DISTRIBUTION BOARD,6.6,6000.0,6699.6,4,OK
KPL2-A10-410-TR01,KPL2-MAIN-6600-MVDB01,ELECTRICAL_ASSET,TA,AREA A10 POWER TRANSFORMER 6.6/0.4 kV,6.6,1250.0,1126.7,1,OK
KPL2-B20-420-TR02,KPL2-MAIN-6600-MVDB01,ELECTRICAL_ASSET,TA,AREA B20 POWER TRANSFORMER 6.6/0.4 kV,6.6,1600.0,1634.2,1,OK
KPL2-C30-430-TR03,KPL2-MAIN-6600-MVDB01,ELECTRICAL_ASSET,TA,AREA C30 POWER TRANSFORMER 6.6/0.4 kV,6.6,1500.0,578.7,1,OK
KPL2-Z90-999-TR99,KPL2-UNKNOWN-FEEDER,ELECTRICAL_ASSET,TA,UNVERIFIED SYNTHETIC TRANSFORMER,6.6,250.0,18.5,1,INVALID_PARENT
KPL2-A10-410-LV01-SWBD01,KPL2-A10-410-TR01,ELECTRICAL_ASSET,LV,AREA A10 LV SWITCHBOARD,0.4,1200.0,1126.7,3,OK
KPL2-B20-420-LV02-SWBD02,KPL2-B20-420-TR02,ELECTRICAL_ASSET,LV,AREA B20 LV SWITCHBOARD,0.4,1500.0,1634.2,3,OK
KPL2-C30-430-LV03-SWBD03,KPL2-C30-430-TR03,ELECTRICAL_ASSET,LV,AREA C30 LV SWITCHBOARD,0.4,900.0,578.7,2,OK
KPL2-C30-430-MV01-SWBD03,KPL2-MAIN-6600-MVDB01,ELECTRICAL_ASSET,HV,AREA C30 MV SWITCHBOARD,6.6,4000.0,3360.0,1,OK
KPL2-Z90-999-LV99-SWBD99,KPL2-Z90-999-TR99,ELECTRICAL_ASSET,LV,UNVERIFIED SYNTHETIC LV SWITCHBOARD,0.4,80.0,18.5,1,OK
KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-SWBD01,ELECTRICAL_ASSET,MCC,AREA A10 MCC 01,0.4,520.0,434.8,22,OK
KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-SWBD01,ELECTRICAL_ASSET,MCC,AREA A10 MCC 02,0.4,450.0,399.4,16,OK
KPL2-A10-410-LV01-DB01,KPL2-A10-410-LV01-SWBD01,ELECTRICAL_ASSET,LV,AREA A10 DISTRIBUTION BOARD 01,0.4,350.0,292.5,9,OK
KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-SWBD02,ELECTRICAL_ASSET,MCC,AREA B20 MCC 03,0.4,900.0,1141.0,18,OK
KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-SWBD02,ELECTRICAL_ASSET,MCC,AREA B20 MCC 04,0.4,450.0,384.2,14,OK
KPL2-B20-420-LV02-DB02,KPL2-B20-420-LV02-SWBD02,ELECTRICAL_ASSET,LV,AREA B20 DISTRIBUTION BOARD 02,0.4,150.0,109.0,9,OK
KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-SWBD03,ELECTRICAL_ASSET,MCC,AREA C30 MCC 05,0.4,500.0,430.5,15,OK
KPL2-C30-430-LV03-MCC06,KPL2-C30-430-LV03-SWBD03,ELECTRICAL_ASSET,MCC,AREA C30 MCC 06,0.4,200.0,148.2,12,OK
KPL2-C30-430-MV01-SWG01,KPL2-C30-430-MV01-SWBD03,ELECTRICAL_ASSET,HV,AREA C30 MV FEEDER SWITCHGEAR 01,6.6,3800.0,3360.0,5,OK
KPL2-Z90-999-LV99-MCC99,KPL2-Z90-999-LV99-SWBD99,ELECTRICAL_ASSET,MCC,UNVERIFIED SYNTHETIC MCC 99,0.4,60.0,18.5,1,OK
KPL2-A10-410-PP001,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,PROCESS PUMP,0.4,1.5,1.5,0,OK
KPL2-A10-410-FN001,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,VENTILATION FAN,0.4,2.2,2.2,0,OK
KPL2-A10-410-FN002,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,VENTILATION FAN,0.4,22.0,22.0,0,OK
KPL2-A10-410-CP001,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,4.0,4.0,0,OK
KPL2-A10-410-MX001,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,MIXER DRIVE,0.4,5.5,5.5,0,OK
KPL2-A10-410-MX002,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,MIXER DRIVE,0.4,55.0,55.0,0,OK
KPL2-A10-410-PP002,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,PROCESS PUMP,0.4,75.0,75.0,0,OK
KPL2-A10-410-MX003,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,MIXER DRIVE,0.4,22.0,22.0,0,OK
KPL2-A10-410-MX004,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,MIXER DRIVE,0.4,2.2,2.2,0,OK
KPL2-A10-410-MX005,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,MIXER DRIVE,0.4,3.0,3.0,0,OK
KPL2-A10-410-PP003,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,PROCESS PUMP,0.4,22.0,22.0,0,OK
KPL2-A10-410-CP002,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,5.5,5.5,0,OK
KPL2-A10-410-PP004,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,PROCESS PUMP,0.4,4.0,4.0,0,OK
KPL2-A10-410-FN003,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,VENTILATION FAN,0.4,75.0,75.0,0,OK
KPL2-A10-410-CP003,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,3.0,3.0,0,OK
KPL2-A10-410-FN004,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,VENTILATION FAN,0.4,11.0,11.0,0,OK
KPL2-A10-410-CP004,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,2.2,2.2,0,OK
KPL2-A10-410-CP005,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,22.0,22.0,0,OK
KPL2-A10-410-FN005,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,VENTILATION FAN,0.4,55.0,55.0,0,OK
KPL2-A10-410-MX006,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,MIXER DRIVE,0.4,2.2,2.2,0,OK
KPL2-A10-410-MX007,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,MIXER DRIVE,0.4,18.5,18.5,0,OK
KPL2-A10-410-FN006,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,MAA,VENTILATION FAN,0.4,22.0,22.0,0,OK
KPL2-A10-410-PK001,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,7.5,7.5,0,OK
KPL2-A10-410-FN007,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,MAA,VENTILATION FAN,0.4,75.0,75.0,0,OK
KPL2-A10-410-PP005,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,MAA,PROCESS PUMP,0.4,45.0,45.0,0,OK
KPL2-A10-410-FN008,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,MAA,VENTILATION FAN,0.4,5.5,5.5,0,OK
KPL2-A10-410-CP006,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,37.0,37.0,0,OK
